Model,Accuracy,F1-score,Precision,Recall,Params (M),Train Time (mins)
ResNet50,0.6482649842271293,0.7736040609137056,0.6403361344537815,0.9769230769230769,23.589761,30.72835119565328
MobileNetV2,0.832807570977918,0.8789954337899544,0.7921810699588477,0.9871794871794872,2.259265,7.185427145163218
DenseNet121,0.8501577287066246,0.8899188876013905,0.8118393234672304,0.9846153846153847,7.038529,6.817835839589437
EfficientNetB0,0.6151419558359621,0.76171875,0.6151419558359621,1.0,4.050852,7.307788527011871
InceptionV3,0.8296529968454258,0.8738317757009346,0.8025751072961373,0.958974358974359,21.804833,7.106092079480489
VGG16,0.7413249211356467,0.8240343347639485,0.7084870848708487,0.9846153846153847,14.715201,6.015131767590841
